pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"HD 40307 b","Radial Velocity","La Silla Observatory",,,
"HD 40307 b","Radial Velocity","La Silla Observatory",,,4977.00
"HD 40307 b","Radial Velocity","La Silla Observatory",,,4956.00
"HD 40307 b","Radial Velocity","La Silla Observatory",,910.00,4867.44
"HD 40307 c","Radial Velocity","La Silla Observatory",,,
"HD 40307 c","Radial Velocity","La Silla Observatory",,,4977.00
"HD 40307 c","Radial Velocity","La Silla Observatory",,,4956.00
"HD 40307 c","Radial Velocity","La Silla Observatory",,696.00,4867.44
"HD 40307 d","Radial Velocity","La Silla Observatory",,,4956.00
"HD 40307 d","Radial Velocity","La Silla Observatory",,,
"HD 40307 d","Radial Velocity","La Silla Observatory",,,4977.00
"HD 40307 d","Radial Velocity","La Silla Observatory",,541.00,4867.44
"HD 41004 A b","Radial Velocity","La Silla Observatory",,,
"HD 41004 B b","Radial Velocity","La Silla Observatory",,,
"HD 41004 B b","Radial Velocity","La Silla Observatory",,,
"HD 4113 b","Radial Velocity","La Silla Observatory",,,
"HD 4113 b","Radial Velocity","La Silla Observatory",,,5688.00
"HD 4113 b","Radial Velocity","La Silla Observatory",,,5688.00
"HD 4308 b","Radial Velocity","La Silla Observatory",,,5685.00
"HD 4308 b","Radial Velocity","La Silla Observatory",,,5686.00
"HD 43197 b","Radial Velocity","La Silla Observatory",,,5508.00
"HD 43197 b","Radial Velocity","La Silla Observatory",,,
"HD 44219 b","Radial Velocity","La Silla Observatory",,,5752.00
"HD 44219 b","Radial Velocity","La Silla Observatory",,,
"HD 45184 b","Radial Velocity","La Silla Observatory",,,5869.00
"HD 45184 b","Radial Velocity","La Silla Observatory",,,5820.13
"HD 45364 b","Radial Velocity","La Silla Observatory",,,5434.00
"HD 45364 b","Radial Velocity","La Silla Observatory",,,5466.00
"HD 45364 c","Radial Velocity","La Silla Observatory",,,5466.00
"HD 45364 c","Radial Velocity","La Silla Observatory",,,5434.00
"HD 47186 b","Radial Velocity","La Silla Observatory",,,
"HD 47186 b","Radial Velocity","La Silla Observatory",,,5657.00
"HD 47186 c","Radial Velocity","La Silla Observatory",,,
"HD 47536 b","Radial Velocity","La Silla Observatory",,,
"HD 47536 b","Radial Velocity","La Silla Observatory",,,4380.00
"HD 51608 b","Radial Velocity","La Silla Observatory",,,5358.00
"HD 51608 c","Radial Velocity","La Silla Observatory",,,5358.00
"HD 60532 b","Radial Velocity","La Silla Observatory",,,6245.00
"HD 60532 b","Radial Velocity","La Silla Observatory",,,6095.00
"HD 60532 c","Radial Velocity","La Silla Observatory",,,6245.00
"HD 60532 c","Radial Velocity","La Silla Observatory",,,6095.00
"HD 63454 b","Radial Velocity","La Silla Observatory",,,4812.00
"HD 63454 b","Radial Velocity","La Silla Observatory",,,4841.00
"HD 63454 b","Radial Velocity","La Silla Observatory",12.31000000,,4840.00
"HD 63765 b","Radial Velocity","La Silla Observatory",,,5449.00
"HD 63765 b","Radial Velocity","La Silla Observatory",,,5432.00
"HD 6434 b","Radial Velocity","La Silla Observatory",,,5835.00
"HD 6434 b","Radial Velocity","La Silla Observatory",,,5769.00
"HD 6434 b","Radial Velocity","La Silla Observatory",,,5690.00
"HD 65216 b","Radial Velocity","La Silla Observatory",,,5612.00
"HD 65216 b","Radial Velocity","La Silla Observatory",,,5645.00
"HD 65216 b","Radial Velocity","La Silla Observatory",,,5666.00
"HD 65216 b","Radial Velocity","La Silla Observatory",,,5623.44
"HD 69830 b","Radial Velocity","La Silla Observatory",,,5385.00
"HD 69830 b","Radial Velocity","La Silla Observatory",,,5420.58
"HD 69830 b","Radial Velocity","La Silla Observatory",,,5423.00
"HD 69830 c","Radial Velocity","La Silla Observatory",,,5420.58
"HD 69830 c","Radial Velocity","La Silla Observatory",,,5423.00
"HD 69830 c","Radial Velocity","La Silla Observatory",,,5385.00
"HD 69830 d","Radial Velocity","La Silla Observatory",,,5420.58
"HD 69830 d","Radial Velocity","La Silla Observatory",,,5423.00
"HD 69830 d","Radial Velocity","La Silla Observatory",,,5385.00
"HD 70573 b","Radial Velocity","La Silla Observatory",,,5737.00
"HD 7199 b","Radial Velocity","La Silla Observatory",,,5371.00
"HD 7199 b","Radial Velocity","La Silla Observatory",,,
"HD 7199 b","Radial Velocity","La Silla Observatory",,,5386.00
"HD 73267 b","Radial Velocity","La Silla Observatory",,,5317.00
"HD 73267 b","Radial Velocity","La Silla Observatory",,,5387.00
"HD 73267 b","Radial Velocity","La Silla Observatory",,,
"HD 73267 b","Radial Velocity","La Silla Observatory",,,5317.00
"HD 7449 b","Radial Velocity","La Silla Observatory",,,6024.00
"HD 7449 b","Radial Velocity","La Silla Observatory",,,6047.00
"HD 7449 b","Radial Velocity","La Silla Observatory",,,6032.60
"HD 7449 b","Radial Velocity","La Silla Observatory",,,
"HD 7449 b","Radial Velocity","La Silla Observatory",,,6024.00
"HD 75289 b","Radial Velocity","La Silla Observatory",,,6095.00
"HD 75289 b","Radial Velocity","La Silla Observatory",,1260.00,6000.00
"HD 75289 b","Radial Velocity","La Silla Observatory",,,
"HD 75289 b","Radial Velocity","La Silla Observatory",,,6117.00
"HD 82943 b","Radial Velocity","La Silla Observatory",,,5935.00
"HD 82943 b","Radial Velocity","La Silla Observatory",,,5918.31
"HD 82943 b","Radial Velocity","La Silla Observatory",,,6005.00
"HD 82943 b","Radial Velocity","La Silla Observatory",,,6011.00
"HD 82943 b","Radial Velocity","La Silla Observatory",,,5935.00
"HD 82943 c","Radial Velocity","La Silla Observatory",,,5935.00
"HD 82943 c","Radial Velocity","La Silla Observatory",,,5918.31
"HD 82943 c","Radial Velocity","La Silla Observatory",,,6011.00
"HD 82943 c","Radial Velocity","La Silla Observatory",,,5935.00
"HD 82943 c","Radial Velocity","La Silla Observatory",,,6005.00
"HD 8535 b","Radial Velocity","La Silla Observatory",,,6136.00
"HD 85390 b","Radial Velocity","La Silla Observatory",,,5164.00
"HD 85390 b","Radial Velocity","La Silla Observatory",,,5186.00
"HD 85390 b","Radial Velocity","La Silla Observatory",,,5186.00
"HD 90156 b","Radial Velocity","La Silla Observatory",,,5629.62
"HD 90156 b","Radial Velocity","La Silla Observatory",,,5599.00
"HD 93083 b","Radial Velocity","La Silla Observatory",,,4995.00
"HIP 12961 b","Radial Velocity","La Silla Observatory",,,3986.00
"HIP 12961 b","Radial Velocity","La Silla Observatory",,,3901.00
"HIP 5158 b","Radial Velocity","La Silla Observatory",,,4813.00
"HIP 5158 b","Radial Velocity","La Silla Observatory",,,4962.00
"HIP 5158 b","Radial Velocity","La Silla Observatory",,,4813.00
"HIP 70849 b","Radial Velocity","La Silla Observatory",,,
"HIP 70849 b","Radial Velocity","La Silla Observatory",,,4105.00
"HIP 70849 b","Radial Velocity","La Silla Observatory",,,
"HR 810 b","Radial Velocity","La Silla Observatory",,,
"HR 810 b","Radial Velocity","La Silla Observatory",,,
"HR 810 b","Radial Velocity","La Silla Observatory",,,
"HR 810 b","Radial Velocity","La Silla Observatory",,,6157.00
"HR 810 b","Radial Velocity","La Silla Observatory",,,6167.00
"BD-13 2130 b","Radial Velocity","La Silla Observatory",,,
"BD-13 2130 b","Radial Velocity","La Silla Observatory",,,4545.00
"BD-08 2823 b","Radial Velocity","La Silla Observatory",,,
"BD-08 2823 b","Radial Velocity","La Silla Observatory",,,4816.00
"BD-08 2823 b","Radial Velocity","La Silla Observatory",,,4746.00
"BD-08 2823 c","Radial Velocity","La Silla Observatory",,,4746.00
"BD-17 63 b","Radial Velocity","La Silla Observatory",,,
